timestamp,scenario,node,event_type,user_utterance,note
"2026-06-12 07:11:12","3","INIT","session_start","",""
"2026-06-12 07:11:12","3","S3-00","enter","",""
"2026-06-12 07:11:32","3","S3-01","enter","",""
"2026-06-12 07:11:48","3","S3-01","user_ignored_tone","for",""
"2026-06-12 07:11:48","3","S3-02","enter","",""
"2026-06-12 07:12:01","3","S3-02","specialist_selected","speak English",""
"2026-06-12 07:12:25","3","S3-03","enter","",""
"2026-06-12 07:16:22","3","INIT","session_start","",""
"2026-06-12 07:16:22","3","S3-00","enter","",""
"2026-06-12 07:16:39","3","S3-00B","enter","",""
"2026-06-12 07:16:52","3","S3-01","enter","",""
"2026-06-12 07:20:24","3","INIT","session_start","",""
"2026-06-12 07:20:24","3","S3-00","enter","",""
"2026-06-12 07:20:42","3","S3-01","enter","",""
"2026-06-12 07:38:30","3","INIT","session_start","",""
"2026-06-12 07:38:30","3","S3-00","enter","",""
"2026-06-12 07:38:44","3","S3-01","enter","",""
"2026-06-12 07:38:57","3","S3-01","user_ignored_tone","okay",""
"2026-06-12 07:38:57","3","S3-02","enter","",""
"2026-06-12 07:39:19","3","S3-02","specialist_selected","neurologist",""
"2026-06-12 07:39:36","3","S3-03","enter","",""
"2026-06-12 07:39:43","3","S3-03","user_gave_availability","tomorrow or Wednesday",""
"2026-06-12 07:39:58","3","S3-03","user_gave_availability","tomorrow of Wednesday at 3 p.m.",""
"2026-06-12 07:40:15","3","S3-03","user_gave_availability","tomorrow Wednesday 3 p.m.",""
"2026-06-12 07:40:31","3","S3-03","user_gave_availability","tomorrow of 3 p.m.",""
"2026-06-12 07:48:28","3","INIT","session_start","",""
"2026-06-12 07:48:28","3","S3-00","enter","",""
"2026-06-12 07:48:41","3","S3-01","enter","",""
"2026-06-12 07:48:57","3","S3-02","enter","",""
"2026-06-12 07:49:14","3","S3-02","specialist_selected","neurologist",""
"2026-06-12 07:49:32","3","S3-03","enter","",""
"2026-06-12 07:49:41","3","S3-03","user_gave_availability","next Wednesday morning around 9:00",""
"2026-06-12 07:49:56","3","S3-03","user_gave_availability","next Wednesday morning around 9:00",""
"2026-06-12 07:50:11","3","S3-03","user_gave_availability","next Wednesday",""
"2026-06-12 07:50:25","3","S3-03","user_gave_availability","okay continue",""
"2026-06-12 07:57:34","3","INIT","session_start","",""
"2026-06-12 07:57:34","3","S3-00","enter","",""
"2026-06-12 07:57:48","3","S3-01","enter","",""
"2026-06-12 07:58:06","3","S3-02","enter","",""
"2026-06-12 07:58:22","3","S3-02","specialist_selected","I want neurologist",""
"2026-06-12 07:58:43","3","S3-03","enter","",""
"2026-06-12 07:58:52","3","S3-03","user_gave_availability","next Wednesday morning around 9:00",""
"2026-06-12 07:59:06","3","S3-03B","user_repeated_calmly","next",""
"2026-06-12 07:59:06","3","S3-03B","enter","",""
"2026-06-12 07:59:14","3","S3-04","enter","",""
"2026-06-12 07:59:28","3","S3-04","user_described_symptoms","yes I have headache on right side of my head",""
"2026-06-12 07:59:44","3","S3-05","enter","",""
"2026-06-12 07:59:55","3","S3-05","user_gave_allergy_info","no I have headache on my right side not both side",""
"2026-06-12 08:00:27","3","S3-06","enter","",""
"2026-06-12 08:00:44","3","S3-06","user_confirmed_without_correcting","",""
"2026-06-12 08:00:44","3","S3-END","session_end","",""
"2026-06-12 08:09:35","3","INIT","session_start","",""
"2026-06-12 08:09:35","3","S3-00","enter","",""
"2026-06-12 08:09:53","3","S3-01","enter","",""
"2026-06-12 08:10:10","3","S3-01","user_ignored_tone","okay let's do it",""
"2026-06-12 08:10:10","3","S3-02","enter","",""
"2026-06-12 08:10:25","3","S3-02","specialist_selected","next Wednesday morning around 9:00",""
"2026-06-12 08:10:44","3","S3-03","enter","",""
"2026-06-12 08:10:52","3","S3-03","user_gave_availability","next Wednesday morning 9:00",""
"2026-06-12 08:11:09","3","S3-03B","enter","",""
"2026-06-12 08:11:15","3","S3-04","enter","",""
"2026-06-12 08:11:31","3","S3-04","user_described_symptoms","yes I have uh headache on my right side of the head and I have nausea",""
"2026-06-12 08:11:44","3","S3-04B","user_corrected","no it's not correct",""
"2026-06-12 08:11:44","3","S3-04B","enter","",""
"2026-06-12 08:11:58","3","S3-05","enter","",""
"2026-06-12 08:12:07","3","S3-05","user_gave_allergy_info","I have",""
"2026-06-12 08:12:37","3","S3-05B","user_responded","okay",""
"2026-06-12 08:12:40","3","S3-06","enter","",""
"2026-06-12 08:12:56","3","S3-06B","user_corrected","it's not correct",""
"2026-06-12 08:12:56","3","S3-06B","enter","",""
"2026-06-12 08:13:09","3","S3-END","session_end","",""
"2026-07-06 00:24:10","3","INIT","session_start","",""
"2026-07-06 00:24:10","3","S3-00","enter","",""
"2026-07-06 00:24:23","3","S3-00B","enter","",""
"2026-07-06 00:24:34","3","S3-01","enter","",""
"2026-07-06 00:24:53","3","S3-02","enter","",""
"2026-07-06 00:25:31","3","S3-03","enter","",""
"2026-07-06 00:58:30","3","INIT","session_start","",""
"2026-07-06 00:58:30","3","S3-00","enter","",""
"2026-07-06 00:58:45","3","S3-00B","enter","",""
"2026-07-06 00:58:56","3","S3-01","enter","",""
"2026-07-06 00:59:11","3","S3-02","enter","",""
"2026-07-06 00:59:48","3","S3-03","enter","",""
"2026-07-06 01:04:34","1","INIT","session_start","",""
"2026-07-06 01:04:34","1","S1-00","enter","",""
"2026-07-06 01:04:49","1","S1-01","enter","",""
"2026-07-06 01:05:03","1","S1-02","user_provided_size_or_asked","around 4 m",""
"2026-07-06 01:05:03","1","S1-02","enter","",""
"2026-07-06 01:05:24","1","S1-02","user_asked_followup","I want open and flat option",""
"2026-07-06 01:05:47","1","S1-02","user_asked_followup","okay fully closed",""
"2026-07-06 01:06:03","1","S1-02","user_asked_followup","polycarbonate",""
"2026-07-06 01:06:22","1","S1-02","user_asked_followup","okay I want closed and polycarbonate",""
"2026-07-06 01:06:43","1","S1-03","enter","",""
"2026-07-06 01:06:50","1","S1-03","user_stated_preferences","polycarbonate full season",""
"2026-07-06 01:07:25","1","S1-04","enter","",""
"2026-07-06 01:07:35","1","S1-05","enter","",""
"2026-07-06 01:11:38","1","INIT","session_start","",""
"2026-07-06 01:11:38","1","S1-00","enter","",""
"2026-07-06 01:11:53","1","S1-01","enter","",""
"2026-07-06 01:12:07","1","S1-02","user_provided_size_or_asked","like medium sized V",""
"2026-07-06 01:12:07","1","S1-02","enter","",""
"2026-07-06 01:12:29","1","S1-02","user_asked_followup","yes tell me about polycarbonate roofing options",""
"2026-07-06 01:12:50","1","S1-02","user_asked_followup","okay I want semi-closed polycarbonate",""
"2026-07-06 01:13:18","1","S1-02","user_asked_followup","okay I understood I want polycarbonate and semi-closed were under structure",""
"2026-07-06 01:13:44","1","S1-02","user_asked_followup","okay I understood don't repeat what you said already I want polycarbonate material",""
"2026-07-06 01:14:06","1","S1-02","user_asked_followup","okay I want polycarbonate",""
"2026-07-06 01:48:38","1","INIT","session_start","",""
"2026-07-06 01:48:38","1","S1-00","enter","",""
"2026-07-06 01:48:53","1","S1-01","enter","",""
"2026-07-06 01:49:09","1","S1-02","enter","",""
"2026-07-06 01:49:36","1","S1-02","user_asked_followup","yes semi-closed polycarbonate",""
"2026-07-06 01:49:49","1","S1-02","failure_triggered","","Repetition: near-verbatim repeat of structure explanation"
"2026-07-06 01:50:11","1","S1-03","enter","",""
"2026-07-06 01:50:21","1","S1-03","user_stated_preferences","semiclosed polycarbonate roofing",""
"2026-07-06 01:50:36","1","S1-03B","enter","",""
"2026-07-06 01:50:50","1","S1-04","enter","",""
"2026-07-06 01:51:31","1","S1-04","failure_triggered","","Repetition/Irrelevance: founder history + polycarbonate chemistry"
"2026-07-06 01:51:37","1","S1-05","enter","",""
"2026-07-06 01:51:43","1","S1-05","user_gave_availability","tomorrow",""
"2026-07-06 01:51:56","1","S1-05B","enter","",""
"2026-07-06 01:52:01","1","S1-06","enter","",""
"2026-07-06 01:52:18","1","S1-06B","user_corrected","no it's wrong",""
"2026-07-06 01:52:18","1","S1-06B","enter","",""
"2026-07-06 01:52:26","1","S1-END","session_end","",""
"2026-07-06 01:55:41","1","INIT","session_start","",""
"2026-07-06 01:55:41","1","S1-00","enter","",""
"2026-07-06 01:55:55","1","S1-01","enter","",""
"2026-07-06 01:56:08","1","S1-02","enter","",""
"2026-07-06 01:56:35","1","S1-02","user_asked_followup","yes semi-closed and polycarbonate",""
"2026-07-06 01:56:51","1","S1-02","failure_triggered","","Repetition: near-verbatim repeat of structure explanation"
"2026-07-06 01:56:58","1","S1-03","enter","",""
"2026-07-06 01:57:07","1","S1-03","user_stated_preferences","semiclosed polycarbonate",""
"2026-07-06 01:57:21","1","S1-03B","enter","",""
"2026-07-06 01:57:33","1","S1-03C","enter","",""
"2026-07-06 01:57:41","1","S1-04","enter","",""
"2026-07-06 01:58:12","1","S1-04","failure_triggered","","Repetition/Irrelevance: founder history + polycarbonate chemistry"
"2026-07-06 01:58:17","1","S1-05","enter","",""
"2026-07-06 01:58:23","1","S1-05","user_gave_availability","tomorrow 10:00 a.m.",""
"2026-07-06 01:58:36","1","S1-05B","enter","",""
"2026-07-06 01:58:42","1","S1-06","enter","",""
"2026-07-06 01:59:01","1","S1-06B","user_corrected","no these are wrong I said semi-closed polycarbonate",""
"2026-07-06 01:59:01","1","S1-06B","enter","",""
"2026-07-06 01:59:11","1","S1-END","session_end","",""
"2026-07-06 02:05:34","2","INIT","session_start","",""
"2026-07-06 02:05:34","2","S2-00","enter","",""
"2026-07-06 02:05:47","2","S2-01","enter","",""
"2026-07-06 02:06:00","2","S2-02","enter","",""
"2026-07-06 02:06:09","2","S2-02B","enter","",""
"2026-07-06 02:06:19","2","S2-02B","failure_triggered","","Turn-Taking: long latency after short reply"
"2026-07-06 02:06:19","2","S2-03","enter","",""
"2026-07-06 02:06:29","2","S2-03","user_stated_preferences","next month and I want to stay in luxury hotel",""
"2026-07-06 02:06:46","2","S2-03C","enter","",""
"2026-07-06 02:07:02","2","S2-04","enter","",""
"2026-07-06 02:07:14","2","S2-05","enter","",""
"2026-07-06 02:07:24","2","S2-06","enter","",""
"2026-07-06 02:07:42","2","S2-06B","user_corrected","no it's not correct I want quite true",""
"2026-07-06 02:07:42","2","S2-06B","enter","",""
"2026-07-06 02:07:53","2","S2-06B","failure_triggered","","Emotional Misalignment: no acknowledgment of repeated correction"
"2026-07-06 02:07:53","2","S2-END","session_end","",""
"2026-07-06 02:09:57","2","INIT","session_start","",""
"2026-07-06 02:09:57","2","S2-00","enter","",""
"2026-07-06 02:10:15","2","S2-01","enter","",""
"2026-07-06 02:10:26","2","S2-02","enter","",""
"2026-07-06 02:10:38","2","S2-02B","enter","",""
"2026-07-06 02:10:52","2","S2-02B","failure_triggered","","Turn-Taking: long latency after short reply"
"2026-07-06 02:10:52","2","S2-03","enter","",""
"2026-07-06 02:10:59","2","S2-03","user_stated_preferences","I want quite room",""
"2026-07-06 02:11:19","2","S2-03C","enter","",""
"2026-07-06 02:11:34","2","S2-04","enter","",""
"2026-07-06 02:11:46","2","S2-05","enter","",""
"2026-07-06 02:12:00","2","S2-06","enter","",""
"2026-07-06 02:12:18","2","S2-06B","user_corrected","no not at all all wrong",""
"2026-07-06 02:12:18","2","S2-06B","enter","",""
"2026-07-06 02:12:24","2","S2-06B","failure_triggered","","Emotional Misalignment: no acknowledgment of repeated correction"
"2026-07-06 02:12:24","2","S2-END","session_end","",""
"2026-07-06 03:20:25","2","INIT","session_start","",""
"2026-07-06 03:20:25","2","S2-00","enter","",""
"2026-07-06 03:20:39","2","S2-01","enter","",""
"2026-07-06 03:20:52","2","S2-02","enter","",""
"2026-07-06 03:21:02","2","S2-02B","enter","",""
"2026-07-06 03:21:14","2","S2-02B","failure_triggered","","Turn-Taking: long latency after short reply"
"2026-07-06 03:21:14","2","S2-03","enter","",""
"2026-07-06 03:21:22","2","S2-03","user_stated_preferences","I want quiet room and if it's possible",""
"2026-07-06 03:21:41","2","S2-03C","enter","",""
"2026-07-06 03:21:53","2","S2-04","enter","",""
"2026-07-06 03:22:04","2","S2-05","enter","",""
"2026-07-06 03:22:15","2","S2-06","enter","",""
"2026-07-06 03:22:31","2","S2-06B","user_corrected","no not at all",""
"2026-07-06 03:22:31","2","S2-06B","enter","",""
"2026-07-06 03:22:46","2","S2-06B","failure_triggered","","Emotional Misalignment: no acknowledgment of repeated correction"
"2026-07-06 03:22:46","2","S2-END","session_end","",""
"2026-07-06 03:25:38","2","INIT","session_start","",""
"2026-07-06 03:25:38","2","S2-00","enter","",""
"2026-07-06 03:25:53","2","S2-01","enter","",""
"2026-07-06 03:26:04","2","S2-02","enter","",""
"2026-07-06 03:26:14","2","S2-02B","enter","",""
"2026-07-06 03:26:27","2","S2-02B","failure_triggered","","Turn-Taking: long latency after short reply"
"2026-07-06 03:26:27","2","S2-03","enter","",""
"2026-07-06 03:26:34","2","S2-03","user_stated_preferences","I want relaxed quite room",""
"2026-07-06 03:26:54","2","S2-03C","enter","",""
"2026-07-06 03:27:08","2","S2-04","enter","",""
"2026-07-06 03:27:30","2","S2-04C","enter","",""
"2026-07-06 03:27:48","2","S2-05","enter","",""
"2026-07-06 03:27:56","2","S2-04C","enter","",""
"2026-07-06 03:28:14","2","S2-05","enter","",""
"2026-07-06 03:28:23","2","S2-06","enter","",""
"2026-07-06 03:28:42","2","S2-END","session_end","",""
"2026-07-06 03:31:28","2","INIT","session_start","",""
"2026-07-06 03:31:28","2","S2-00","enter","",""
"2026-07-06 03:31:40","2","S2-01","enter","",""
"2026-07-06 03:31:50","2","S2-02","enter","",""
"2026-07-06 03:31:57","2","S2-02B","enter","",""
"2026-07-06 03:32:10","2","S2-02B","failure_triggered","","Turn-Taking: long latency after short reply"
"2026-07-06 03:32:10","2","S2-03","enter","",""
"2026-07-06 03:32:15","2","S2-03","user_stated_preferences","quite",""
"2026-07-06 03:32:35","2","S2-03C","enter","",""
"2026-07-06 03:32:48","2","S2-04","enter","",""
"2026-07-06 03:33:09","2","S2-04C","enter","",""
"2026-07-06 03:33:25","2","S2-05","enter","",""
"2026-07-06 03:33:35","2","S2-06","enter","",""
"2026-07-06 03:33:51","2","S2-06B","user_corrected","no it's not correct",""
"2026-07-06 03:33:51","2","S2-06B","enter","",""
"2026-07-06 03:34:04","2","S2-06B","failure_triggered","","Emotional Misalignment: no acknowledgment of repeated correction"
"2026-07-06 03:34:04","2","S2-END","session_end","",""
"2026-07-06 03:34:54","4","INIT","session_start","",""
"2026-07-06 03:34:54","4","S4-00","enter","",""
"2026-07-06 03:35:08","4","S4-01","enter","",""
"2026-07-06 03:35:22","4","S4-02","enter","",""
"2026-07-06 03:35:35","4","S4-02","user_gave_policy","policy number is s h 44712023",""
"2026-07-06 03:36:08","4","S4-03","enter","",""
"2026-07-06 03:36:26","4","S4-03","user_started_describing","a pipe bursting my home last Saturday the 5th of April my kitchen and living room are damaged kitchen floor laminate is completely warped",""
"2026-07-06 03:36:33","4","S4-04","enter","",""
"2026-07-06 03:36:43","4","S4-05","enter","",""
"2026-07-06 03:36:53","4","S4-05","user_gave_availability","only available on Saturdays",""
"2026-07-06 03:37:22","4","S4-06","enter","",""
"2026-07-06 03:38:06","4","S4-06","failure_triggered","","Repetition/Irrelevance: bureaucratic information overload (dominant)"
"2026-07-06 03:38:14","4","S4-07","enter","",""
"2026-07-06 03:38:35","4","S4-07B","user_corrected","no not correct",""
"2026-07-06 03:38:35","4","S4-07B","enter","",""
"2026-07-06 03:38:51","4","S4-07B","failure_triggered","","Emotional Misalignment: flat, bored, rushed delivery after corrections"
"2026-07-06 03:38:51","4","S4-END","session_end","",""
"2026-07-08 13:10:30","1","INIT","session_start","",""
"2026-07-08 13:10:30","1","S1-00","enter","",""
"2026-07-08 13:10:44","1","S1-00B","enter","",""
"2026-07-08 13:10:57","1","S1-01","enter","",""
"2026-07-08 13:11:13","1","S1-02","enter","",""
"2026-07-08 13:11:36","1","S1-02","user_asked_followup","yes semicolon",""
"2026-07-08 13:12:06","1","INIT","session_start","",""
"2026-07-08 13:12:06","1","S1-00","enter","",""
"2026-07-08 13:12:20","1","S1-00B","enter","",""
"2026-07-08 13:12:27","1","S1-01","enter","",""
"2026-07-08 13:33:43","2","INIT","session_start","",""
"2026-07-08 13:33:43","2","S2-00","enter","",""
"2026-07-08 13:33:53","2","S2-01","enter","",""
"2026-07-08 13:34:03","2","S2-02","enter","",""
"2026-07-08 13:34:11","2","S2-02B","enter","",""
"2026-07-08 13:34:24","2","S2-02B","failure_triggered","","Turn-Taking: long latency after short reply"
"2026-07-08 13:34:24","2","S2-03","enter","",""
"2026-07-08 13:34:30","2","S2-03","user_stated_preferences","I want quite room to relax",""
"2026-07-08 13:34:51","2","S2-03C","enter","",""
"2026-07-08 13:35:07","2","S2-04","enter","",""
"2026-07-08 13:36:37","2","INIT","session_start","",""
"2026-07-08 13:36:37","2","S2-00","enter","",""
